fs, op, time.s
ext4, clone, 48.423
ext4, clone, 47.089
ext4, clone, 47.234
ext4, clone, 47.802
ext4, clone, 47.636

ext4, diff, 62.180
ext4, diff, 63.947
ext4, diff, 60.736
ext4, diff, 64.970
ext4, diff, 66.619

btrfs, clone, 41.400
btrfs, clone, 41.010
btrfs, clone, 41.194
btrfs, clone, 40.677
btrfs, clone, 41.229

btrfs, diff, 36.767
btrfs, diff, 36.851
btrfs, diff, 37.593
btrfs, diff, 36.650
btrfs, diff, 36.534

xfs, clone, 54.834
xfs, clone, 56.195
xfs, clone, 54.898
xfs, clone, 56.309
xfs, clone, 54.796

xfs, diff, 86.767
xfs, diff, 88.374
xfs, diff, 89.335
xfs, diff, 87.124
xfs, diff, 91.767

zfs, clone, 58.456
zfs, clone, 57.729
zfs, clone, 57.485
zfs, clone, 58.564
zfs, clone, 59.171

zfs, diff, 52.979
zfs, diff, 53.708
zfs, diff, 55.474
zfs, diff, 57.973
zfs, diff, 53.024

nilfs2, clone, 55.811
nilfs2, clone, 55.591
nilfs2, clone, 55.496
nilfs2, clone, 55.814
nilfs2, clone, 55.444

nilfs2, diff, 56.886
nilfs2, diff, 57.279
nilfs2, diff, 56.249
nilfs2, diff, 57.643
nilfs2, diff, 57.159

betrfs3, clone, 59.743
betrfs3, clone, 57.254
betrfs3, clone, 56.140
betrfs3, clone, 56.221
betrfs3, clone, 56.552

betrfs3, diff, 42.174
betrfs3, diff, 41.530
betrfs3, diff, 42.815
betrfs3, diff, 41.699
betrfs3, diff, 41.542

betrfs4, clone, 39.102
betrfs4, clone, 39.495
betrfs4, clone, 38.662
betrfs4, clone, 38.337
betrfs4, clone, 38.172

betrfs4, diff, 41.440
betrfs4, diff, 42.420
betrfs4, diff, 41.693
betrfs4, diff, 41.246
betrfs4, diff, 41.753

betrfs5, clone, 40.247
betrfs5, clone, 39.480
betrfs5, clone, 40.133
betrfs5, clone, 39.771
betrfs5, clone, 39.750

betrfs5, diff, 36.948
betrfs5, diff, 37.027
betrfs5, diff, 36.819
betrfs5, diff, 36.525
betrfs5, diff, 36.742

