fs, in.place, throughput.MBps
ext4, yes, 28.82
ext4, yes, 30.23
ext4, yes, 30.53
ext4, yes, 30.88
ext4, yes, 30.86

ext4, no, 29.30
ext4, no, 28.22
ext4, no, 29.02
ext4, no, 24.55
ext4, no, 30.05

btrfs, yes, 16.11
btrfs, yes, 15.47
btrfs, yes, 16.09
btrfs, yes, 16.03
btrfs, yes, 15.34

btrfs, no, 31.54
btrfs, no, 32.19
btrfs, no, 30.67
btrfs, no, 32.94
btrfs, no, 31.80

xfs, yes, 6.68
xfs, yes, 6.86
xfs, yes, 6.40
xfs, yes, 6.72
xfs, yes, 6.73

xfs, no, 6.98
xfs, no, 7.51
xfs, no, 6.08
xfs, no, 4.72
xfs, no, 4.61

zfs, yes, 27.48
zfs, yes, 28.28
zfs, yes, 28.10
zfs, yes, 27.25
zfs, yes, 28.57

zfs, no, 26.86
zfs, no, 25.96
zfs, no, 25.50
zfs, no, 27.19
zfs, no, 25.49

nilfs2, yes, 22.57
nilfs2, yes, 22.88
nilfs2, yes, 22.70
nilfs2, yes, 23.04
nilfs2, yes, 22.56

nilfs2, no, 22.75
nilfs2, no, 22.86
nilfs2, no, 22.81
nilfs2, no, 22.88
nilfs2, no, 22.99

betrfs4, yes, 55.44
betrfs4, yes, 55.63
betrfs4, yes, 54.39
betrfs4, yes, 56.01
betrfs4, yes, 56.97

betrfs4, no, 47.51
betrfs4, no, 43.01
betrfs4, no, 43.50
betrfs4, no, 45.08
betrfs4, no, 43.60

betrfs5, yes, 53.34
betrfs5, yes, 57.76
betrfs5, yes, 55.10
betrfs5, yes, 56.41
betrfs5, yes, 54.56

betrfs5, no, 46.72
betrfs5, no, 52.18
betrfs5, no, 49.86
betrfs5, no, 45.49
betrfs5, no, 47.18
