fs, dir.ops, aged, time.s
ext4, grep, no, 42.374
ext4, grep, no, 43.778
ext4, grep, no, 40.096
ext4, grep, no, 40.842
ext4, grep, no, 40.784

ext4, grep, yes, 271.603
ext4, grep, yes, 261.380
ext4, grep, yes, 260.000
ext4, grep, yes, 260.104
ext4, grep, yes, 260.632

ext4, find, no, 2.200
ext4, find, no, 2.216
ext4, find, no, 2.181
ext4, find, no, 2.263
ext4, find, no, 2.211

ext4, find, yes, 8.571
ext4, find, yes, 8.631
ext4, find, yes, 8.724
ext4, find, yes, 8.781
ext4, find, yes, 8.631

btrfs, grep, no, 14.901
btrfs, grep, no, 13.075
btrfs, grep, no, 13.108
btrfs, grep, no, 12.968
btrfs, grep, no, 13.259

btrfs, grep, yes, 322.212
btrfs, grep, yes, 303.202
btrfs, grep, yes, 303.699
btrfs, grep, yes, 304.054
btrfs, grep, yes, 305.695

btrfs, find, no, 1.120
btrfs, find, no, 1.193
btrfs, find, no, 1.174
btrfs, find, no, 1.168
btrfs, find, no, 1.152

btrfs, find, yes, 5.861
btrfs, find, yes, 5.819
btrfs, find, yes, 5.817
btrfs, find, yes, 5.817
btrfs, find, yes, 5.814

xfs, grep, no, 25.863
xfs, grep, no, 20.819
xfs, grep, no, 20.844
xfs, grep, no, 21.469
xfs, grep, no, 21.105

xfs, grep, yes, 312.165
xfs, grep, yes, 284.616
xfs, grep, yes, 284.944
xfs, grep, yes, 285.203
xfs, grep, yes, 286.486

xfs, find, no, 1.541
xfs, find, no, 1.532
xfs, find, no, 1.517
xfs, find, no, 1.533
xfs, find, no, 1.516

xfs, find, yes, 34.090
xfs, find, yes, 34.122
xfs, find, yes, 34.108
xfs, find, yes, 34.056
xfs, find, yes, 34.037

betrfs3, grep, no, 8.547
betrfs3, grep, no, 8.438
betrfs3, grep, no, 8.456
betrfs3, grep, no, 8.500
betrfs3, grep, no, 8.399

betrfs3, grep, yes, 
betrfs3, grep, yes, 
betrfs3, grep, yes, 
betrfs3, grep, yes, 
betrfs3, grep, yes, 

betrfs3, find, no, 0.333
betrfs3, find, no, 0.311
betrfs3, find, no, 0.293
betrfs3, find, no, 0.325
betrfs3, find, no, 0.317

betrfs3, find, yes, 
betrfs3, find, yes, 
betrfs3, find, yes, 
betrfs3, find, yes, 
betrfs3, find, yes, 

betrfs4, grep, no, 8.528
betrfs4, grep, no, 7.998
betrfs4, grep, no, 8.059
betrfs4, grep, no, 8.736
betrfs4, grep, no, 8.121

betrfs4, grep, yes, 75.694
betrfs4, grep, yes, 68.903
betrfs4, grep, yes, 68.297
betrfs4, grep, yes, 68.423
betrfs4, grep, yes, 65.446

betrfs4, find, no, 0.352
betrfs4, find, no, 0.318
betrfs4, find, no, 0.309
betrfs4, find, no, 0.317
betrfs4, find, no, 0.357

betrfs4, find, no, 0.647
betrfs4, find, no, 0.522
betrfs4, find, no, 0.530
betrfs4, find, no, 0.524
betrfs4, find, no, 0.552
