fs, dir.op, time.s
ext4, grep, 78.235
ext4, grep, 67.575
ext4, grep, 68.254
ext4, grep, 67.394
ext4, grep, 67.092

ext4, find, 3.426
ext4, find, 3.434
ext4, find, 3.551
ext4, find, 3.506
ext4, find, 3.496

ext4, rm.rf, 4.937
ext4, rm.rf, 4.733
ext4, rm.rf, 6.431
ext4, rm.rf, 5.706
ext4, rm.rf, 5.616

btrfs, grep, 23.865
btrfs, grep, 20.854
btrfs, grep, 20.661
btrfs, grep, 20.877
btrfs, grep, 20.923

btrfs, find, 1.561
btrfs, find, 1.494
btrfs, find, 1.513
btrfs, find, 1.509
btrfs, find, 1.504

btrfs, rm.rf, 4.334
btrfs, rm.rf, 4.302
btrfs, rm.rf, 4.453
btrfs, rm.rf, 4.363
btrfs, rm.rf, 4.402

xfs, grep, 73.617
xfs, grep, 65.376
xfs, grep, 66.826
xfs, grep, 66.067
xfs, grep, 66.318

xfs, find, 3.139
xfs, find, 1.987
xfs, find, 2.006
xfs, find, 2.015
xfs, find, 2.034

xfs, rm.rf, 27.564
xfs, rm.rf, 25.786
xfs, rm.rf, 26.560
xfs, rm.rf, 28.892
xfs, rm.rf, 27.965

zfs, grep, 70.662
zfs, grep, 69.942
zfs, grep, 69.599
zfs, grep, 69.739
zfs, grep, 69.478

zfs, find, 16.316
zfs, find, 14.868
zfs, find, 13.383
zfs, find, 13.473
zfs, find, 13.458

zfs, rm.rf, 13.505
zfs, rm.rf, 13.766
zfs, rm.rf, 13.136
zfs, rm.rf, 13.006
zfs, rm.rf, 13.278

nilfs2, grep, 22.265
nilfs2, grep, 22.509
nilfs2, grep, 22.367
nilfs2, grep, 22.313
nilfs2, grep, 22.537

nilfs2, find, 9.101
nilfs2, find, 9.177
nilfs2, find, 9.183
nilfs2, find, 9.234
nilfs2, find, 9.252

nilfs2, rm.rf, 19.353
nilfs2, rm.rf, 18.757
nilfs2, rm.rf, 19.052
nilfs2, rm.rf, 19.063
nilfs2, rm.rf, 18.966

betrfs3, grep, 15.827
betrfs3, grep, 15.675
betrfs3, grep, 15.686
betrfs3, grep, 15.661
betrfs3, grep, 15.619

betrfs3, find, 0.314
betrfs3, find, 0.290
betrfs3, find, 0.304
betrfs3, find, 0.307
betrfs3, find, 0.303

betrfs3, rm.rf, 13.083
betrfs3, rm.rf, 16.472
betrfs3, rm.rf, 10.416
betrfs3, rm.rf, 16.504
betrfs3, rm.rf, 12.885

betrfs4, grep, 15.162
betrfs4, grep, 15.425
betrfs4, grep, 15.356
betrfs4, grep, 15.364
betrfs4, grep, 15.221

betrfs4, find, 0.327
betrfs4, find, 0.288
betrfs4, find, 0.304
betrfs4, find, 0.293
betrfs4, find, 0.302

betrfs4, rm.rf, 36.259
betrfs4, rm.rf, 37.083
betrfs4, rm.rf, 37.139
betrfs4, rm.rf, 38.123
betrfs4, rm.rf, 35.692

betrfs5, grep, 3.740
betrfs5, grep, 4.347
betrfs5, grep, 3.949
betrfs5, grep, 3.929
betrfs5, grep, 3.899

betrfs5, find, 0.241
betrfs5, find, 0.251
betrfs5, find, 0.225
betrfs5, find, 0.238
betrfs5, find, 0.239

betrfs5, rm.rf, 3.071
betrfs5, rm.rf, 3.270
betrfs5, rm.rf, 3.277
betrfs5, rm.rf, 3.514
betrfs5, rm.rf, 3.211

